symbol,sector,industry,price
CCC,Commercial Services,Miscellaneous Commercial Services,
ARLP,Energy Minerals,Coal,
CNK,Consumer Services,Movies/Entertainment,
AON,Finance,Insurance Brokers/Services,
VVI,Commercial Services,Miscellaneous Commercial Services,
KLAC,Electronic Technology,Electronic Production Equipment,
MPG,Consumer Services,Movies/Entertainment,
ISP,Finance,Major Banks,
ENZ,Health Technology,Biotechnology,
PNX,Non-Energy Minerals,Other Metals/Minerals,
CXE,Miscellaneous,Investment Trusts/Mutual Funds,
SBH,Retail Trade,Specialty Stores,
XRX,Electronic Technology,Computer Peripherals,
RARE,Health Technology,Biotechnology,
PSG,Commercial Services,Miscellaneous Commercial Services,
EPZM,Health Technology,Biotechnology,
ALNY,Health Technology,Biotechnology,
TFSL,Finance,Savings Banks,
RYN,Finance,Real Estate Investment Trusts,
NEU,Process Industries,Chemicals: Specialty,
REGN,Health Technology,Biotechnology,
FAST,Distribution Services,Wholesale Distributors,
AXP,Finance,Financial Conglomerates,
MNST,Consumer Non-Durables,Beverages: Non-Alcoholic,
TSN,Consumer Non-Durables,Food: Meat/Fish/Dairy,
CST,Miscellaneous,Investment Trusts/Mutual Funds,
HTLF,Finance,Regional Banks,
AZZ,Producer Manufacturing,Electrical Products,
MWG,Utilities,Water Utilities,
ADXS,Health Technology,Biotechnology,
KEP,Utilities,Electric Utilities,
NYMTP,Finance,Real Estate Investment Trusts,
HQH,Miscellaneous,Investment Trusts/Mutual Funds,
SHPG,Health Technology,Pharmaceuticals: Major,
L,Finance,Property/Casualty Insurance,
SNHO,Consumer Durables,Recreational Products,
NCLH,Consumer Services,Hotels/Resorts/Cruise lines,
PXD,Energy Minerals,Oil & Gas Production,
ASX,Electronic Technology,Semiconductors,
HLT,Consumer Services,Hotels/Resorts/Cruise lines,
AXE,Finance,Real Estate Investment Trusts,
HEP,Industrial Services,Oil & Gas Pipelines,
CTRE,Finance,Real Estate Investment Trusts,
VMW,Technology Services,Information Technology Services,
SAIC,Technology Services,Information Technology Services,
RMBS,Electronic Technology,Semiconductors,
NBIX,Health Technology,Biotechnology,
DMLP,Energy Minerals,Oil & Gas Production,
WBMD,Technology Services,Internet Software/Services,
SHLO,Producer Manufacturing,Metal Fabrication,
MNRO,Retail Trade,Specialty Stores,
ZEUS,Non-Energy Minerals,Steel,
GPC,Distribution Services,Wholesale Distributors,
NOMD,Consumer Non-Durables,Food: Specialty/Candy,
INGN,Health Technology,Medical Specialties,
APF,Non-Energy Minerals,Other Metals/Minerals,
MYOK,Health Technology,Pharmaceuticals: Other,
NL,Producer Manufacturing,Industrial Conglomerates,
MBFI,Finance,Savings Banks,
ASB,Finance,Regional Banks,
RGC,Non-Energy Minerals,Precious Metals,
HRTG,Finance,Property/Casualty Insurance,
LBTYK,Consumer Services,Cable/Satellite TV,
CVBF,Finance,Regional Banks,
FBC,Finance,Financial Conglomerates,
WMGI,Health Technology,Medical Specialties,
APEI,Consumer Services,Other Consumer Services,
ANTM,Health Services,Managed Health Care,
OXLC,Miscellaneous,Investment Trusts/Mutual Funds,
NC,Energy Minerals,Coal,
BIG,Retail Trade,Discount Stores,
DEL,Producer Manufacturing,Electrical Products,
SCS,Producer Manufacturing,Office Equipment/Supplies,
ATAX,Finance,Finance/Rental/Leasing,
ORBC,Communications,Wireless Telecommunications,
PFN,Miscellaneous,Investment Trusts/Mutual Funds,
SLF,Finance,Multi-Line Insurance,
UAL,Transportation,Airlines,
KST,Non-Energy Minerals,Steel,
V,Finance,Finance/Rental/Leasing,
GPI,Retail Trade,Specialty Stores,
AKP,Industrial Services,Environmental Services,
NPTN,Electronic Technology,Electronic Components,
IDE,Miscellaneous,Investment Trusts/Mutual Funds,
EROS,Consumer Services,Movies/Entertainment,
UFI,Process Industries,Textiles,
CTR,Miscellaneous,Investment Trusts/Mutual Funds,
KELYB,Commercial Services,Personnel Services,
HCM,Health Technology,Pharmaceuticals: Major,
BSM,Energy Minerals,Oil & Gas Production,
GMLP,Transportation,Marine Shipping,
TRW,Non-Energy Minerals,Precious Metals,
CLNY,Finance,Real Estate Investment Trusts,
AAT,Finance,Real Estate Investment Trusts,
SPPI,Health Technology,Biotechnology,
WDAY,Technology Services,Information Technology Services,
AEIS,Electronic Technology,Electronic Production Equipment,
AHT,Finance,Real Estate Investment Trusts,
MERC,Process Industries,Pulp & Paper,
RFT,Producer Manufacturing,Electrical Products,
STNG,Transportation,Marine Shipping,
PHK,Miscellaneous,Investment Trusts/Mutual Funds,
TNP,Transportation,Marine Shipping,
TGT,Retail Trade,Specialty Stores,
GPRE,Process Industries,Chemicals: Specialty,
SPKE,Utilities,Electric Utilities,
FISI,Finance,Regional Banks,
VRTV,Distribution Services,Wholesale Distributors,
GEQ,Finance,Investment Managers,
FE,Utilities,Electric Utilities,
INFO,Finance,Investment Managers,
REV,Consumer Non-Durables,Household/Personal Care,
SLAB,Electronic Technology,Semiconductors,
FET,Industrial Services,Oilfield Services/Equipment,
PSMT,Retail Trade,Discount Stores,
ENVA,Finance,Finance/Rental/Leasing,
DSE,Miscellaneous,Investment Trusts/Mutual Funds,
CNMD,Health Technology,Medical Specialties,
BMS,Commercial Services,Miscellaneous Commercial Services,
RNET,Communications,Specialty Telecommunications,
BBBY,Retail Trade,Specialty Stores,
ELJ,Utilities,Electric Utilities,
AVID,Technology Services,Packaged Software,
LM,Finance,Investment Managers,
USNA,Consumer Non-Durables,Household/Personal Care,
AVAL,Finance,Major Banks,
CTW,Producer Manufacturing,Electrical Products,
GBCI,Finance,Regional Banks,
NNBR,Producer Manufacturing,Metal Fabrication,
UNF,Consumer Services,Other Consumer Services,
MHLD,Finance,Property/Casualty Insurance,
PMT,Finance,Real Estate Investment Trusts,
CSS,Distribution Services,Wholesale Distributors,
BBX,Finance,Savings Banks,
MYF,Miscellaneous,Investment Trusts/Mutual Funds,
HEI,Electronic Technology,Aerospace & Defense,
PAGP,Industrial Services,Oil & Gas Pipelines,
VEDL,Non-Energy Minerals,Other Metals/Minerals,
ARWR,Health Technology,Biotechnology,
QCOM,Electronic Technology,Telecommunications Equipment,
TTPH,Health Technology,Pharmaceuticals: Other,
CLC,Finance,Investment Managers,
NIQ,Miscellaneous,Investment Trusts/Mutual Funds,
SID,Non-Energy Minerals,Steel,
FCN,Commercial Services,Miscellaneous Commercial Services,
SLRC,Finance,Investment Managers,
DRNA,Health Technology,Biotechnology,
IHS,Non-Energy Minerals,Precious Metals,
IPI,Non-Energy Minerals,Other Metals/Minerals,
TREE,Finance,Finance/Rental/Leasing,
PENN,Consumer Services,Casinos/Gaming,
AIMT,Health Technology,Biotechnology,
SWJ,Communications,Major Telecommunications,
CORE,Distribution Services,Wholesale Distributors,
BCPC,Process Industries,Chemicals: Specialty,
TWN,Miscellaneous,Investment Trusts/Mutual Funds,
BUD,Consumer Non-Durables,Beverages: Alcoholic,
NCOM,Finance,Major Banks,
WRES,Non-Energy Minerals,Other Metals/Minerals,
TAXI,Transportation,Other Transportation,
GAB,Miscellaneous,Investment Trusts/Mutual Funds,
